status_label,year,current_assets,ebitda,net_income,market_value,total_assets,long_term_debt,ebit,current_liabilities,total_revenue,total_liabilities
0,1999,511.267,89.031,35.163,372.7519,740.998,180.447,70.658,163.816,1024.333,401.483
0,2000,485.856,64.367,18.531,377.118,701.854,179.987,45.79,125.392,874.255,361.642
0,2001,436.656,27.207,-58.939,364.5928,710.199,217.699,4.711,150.464,638.721,399.964
0,2002,396.412,30.745,-12.41,143.3295,686.621,164.658,3.573,203.575,606.337,391.633
0,2003,432.204,47.491,3.504,308.9071,709.292,248.666,20.811,131.261,651.958,407.608
0,2004,474.542,61.774,15.453,522.6794,732.23,227.159,33.824,160.025,747.848,417.486
0,2005,624.454,91.877,35.163,882.6283,978.819,318.576,62.655,187.788,897.284,556.102
0,2006,645.721,118.907,58.66,1226.1925,1067.633,253.611,86.708,256.506,1061.169,573.39
0,2007,783.431,168.522,75.144,747.5434,1362.01,507.918,128.57,218.499,1384.919,776.755
0,2008,851.312,166.08,78.651,571.5948,1377.511,392.984,125.529,254.418,1423.976,720.616
0,2009,863.429,134.345,44.628,777.8348,1501.042,336.191,95.415,325.55,1352.151,754.692
0,2010,913.985,196.312,69.826,1049.8206,1703.727,329.802,137.016,416.01,1775.782,868.438
0,2011,1063.272,222.693,67.723,485.2897,2195.653,669.489,142.36,473.226,2074.498,1329.631
0,2012,1033.7,245.2,55.0,790.0029,2136.9,622.2,136.6,389.0,2167.1,1217.4
0,2013,1116.9,256.0,72.9,961.308,2199.5,564.3,142.6,402.1,2035.0,1198.8
0,2014,954.1,83.7,10.2,1046.3954,1515.0,85.0,-8.6,412.0,1594.3,669.9
0,2015,873.1,136.9,47.7,842.5112,1442.1,136.1,66.1,329.0,1662.6,576.3
0,2016,888.5,148.2,56.5,1200.3288,1504.1,155.3,77.2,335.1,1767.6,589.9
0,2017,942.7,126.5,15.6,1551.458,1524.7,177.2,86.0,333.3,1748.3,588.4
0,1999,1029.438,413.739,87.635,7161.3749,1672.529,11.024,311.649,412.954,1926.947,423.978
0,2000,2650.9,670.1,868.1,16465.1625,3970.5,16.5,523.9,1041.3,3287.9,1057.8
0,2001,1305.2,-55.6,-1287.7,3603.6,2499.7,3.0,-253.4,599.4,2402.8,606.3
0,2002,686.3,-192.4,-1145.0,1263.368,1144.2,10.8,-297.1,397.8,1047.7,412.0
